feature,importance
PT08.S3(NOx),0.30916533347509606
AH,0.16185840909200575
PT08.S5(O3),0.13168914263022918
CO_NO2_ratio,0.11176868374915201
temp_humidity,0.0610307874420452
PT08.S1(CO),0.05970473711697417
PT08.S2(NMHC),0.05968288201520629
hour,0.0409977257254535
PT08.S4(NO2),0.01692932956867046
T,0.014314468707360797
month,0.011607155714828572
RH,0.01049274573929275
day_of_week,0.005010703672120431
season,0.004840809260370128
weekend,0.000907086091194737
