rule,value,n_node_samples,path_len
IF f2 > -0.157345 AND f0 <= -0.835304 AND f7 > 0.190982 AND f13 <= -0.288834 AND f13 <= -2.257548 AND f13 <= -3.849184 AND f13 > -5.871584 AND f13 <= -4.694530 AND f13 > -5.199214 AND f13 <= -4.952860,16.5,5,10
IF f2 <= -0.157345 AND f7 > 0.195483 AND f0 > 0.289661 AND f13 > -1.208139 AND f14 <= -0.166710 AND f4 <= 2.030314 AND f8 > -0.439802 AND f1 <= 0.880346 AND f2 > -0.930200 AND f13 > 0.398532 AND f6 > 0.061433 AND f0 > 0.600870 AND f2 > -0.810545 AND f1 > 0.379372 AND f13 <= 0.403972 AND f6 > 0.076143 AND f6 <= 0.658662 AND f2 > -0.592812 AND f6 <= 0.499793 AND f6 <= 0.284046,63.55555555555556,5,20
IF f2 > -0.157345 AND f0 <= -0.835304 AND f7 <= 0.190982 AND f1 > -1.571988 AND f2 > 0.614656 AND f3 <= -1.262290 AND f6 > -2.592262 AND f1 <= -1.149819 AND f2 <= 1.843446 AND f4 > -1.669916 AND f7 > 0.182766 AND f0 > -1.607564 AND f2 <= 1.041168 AND f1 > -1.511947 AND f2 <= 0.984283 AND f14 > -0.283209 AND f8 <= 0.576690 AND f5 <= -0.025673 AND f4 > -1.220425 AND f1 > -1.320563,43.72222222222222,5,20
IF f2 > -0.157345 AND f0 <= -0.835304 AND f7 <= 0.190982 AND f1 > -1.571988 AND f2 > 0.614656 AND f3 <= -1.262290 AND f6 > -2.592262 AND f1 <= -1.149819 AND f2 <= 1.843446 AND f4 > -1.669916 AND f7 > 0.182766 AND f0 > -1.607564 AND f2 > 1.041168 AND f14 <= -0.268894 AND f5 <= -0.124535 AND f11 <= 0.031238 AND f13 <= 0.391667 AND f9 > -0.731350 AND f5 > -0.169896 AND f4 <= -0.849160,41.875,5,20
IF f2 > -0.157345 AND f0 > -0.835304 AND f7 > 0.187807 AND f1 <= 0.030378 AND f3 > -0.985277 AND f1 <= -0.427441 AND f13 <= 0.398653 AND f0 <= -0.420358 AND f13 > -0.226708 AND f3 > -0.262128 AND f6 <= 0.337002 AND f13 > 0.395210 AND f1 <= -0.511875 AND f9 > -0.979482 AND f4 <= -0.507696 AND f4 <= -0.602064 AND f4 <= -0.681532 AND f7 <= 0.220612 AND f14 > -0.209142 AND f9 > -0.235085,26.6,5,20
IF f2 > -0.157345 AND f0 > -0.835304 AND f7 > 0.187807 AND f1 > 0.030378 AND f4 <= 0.762551 AND f13 > -1.654668 AND f13 <= 0.406418 AND f1 <= 0.497579 AND f13 <= 0.397420 AND f13 > -1.386342 AND f13 > 0.394584 AND f5 > 0.108082 AND f1 <= 0.251783 AND f3 > 0.176719 AND f9 > -1.227614 AND f8 <= 1.593183 AND f8 <= 1.230149 AND f10 > -0.666146 AND f6 > -0.253362 AND f8 > -1.165868,53.04545454545455,5,20
IF f2 > -0.157345 AND f0 > -0.835304 AND f7 > 0.187807 AND f1 > 0.030378 AND f4 <= 0.762551 AND f13 > -1.654668 AND f13 <= 0.406418 AND f1 <= 0.497579 AND f13 > 0.397420 AND f14 <= -0.182876 AND f4 <= -0.137673 AND f9 > -1.227614 AND f6 <= 0.396823 AND f2 > -0.055344 AND f0 > -0.547147 AND f11 > -0.894771 AND f7 > 0.192662 AND f4 > -0.700158 AND f2 > -0.039652 AND f7 > 0.198064,45.958333333333336,5,20
IF f2 > -0.157345 AND f0 <= -0.835304 AND f7 > 0.190982 AND f13 > -0.288834 AND f1 <= -0.892765 AND f13 <= 0.390917 AND f3 > -0.549347 AND f4 <= -1.044105 AND f0 <= -0.996672 AND f7 > 0.197540 AND f2 > 1.237324 AND f5 <= 0.289524 AND f6 > 0.153616 AND f4 <= -1.138473 AND f0 > -1.635227 AND f7 <= 0.212580 AND f13 > 0.389791,18.0,4,17
IF f2 > -0.157345 AND f0 <= -0.835304 AND f7 > 0.190982 AND f13 > -0.288834 AND f1 <= -0.892765 AND f13 > 0.390917 AND f1 > -1.412502 AND f7 <= 0.205344 AND f13 <= 0.394636 AND f2 > 1.015668 AND f11 > 0.031239 AND f0 <= -1.215671 AND f6 > -0.385752 AND f4 <= -1.149649 AND f2 <= 1.868946 AND f4 <= -1.263884 AND f13 <= 0.393263 AND f4 > -1.465037,28.499999999999996,4,18
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 > -1.068439 AND f14 > -0.241364 AND f13 > -1.179991 AND f8 > -0.439802 AND f10 <= -1.103911 AND f13 <= 0.403034 AND f8 > -0.294589 AND f7 <= 0.193615 AND f4 <= 1.681134 AND f0 > -0.162169 AND f2 > -0.849776 AND f4 <= 1.153376 AND f4 > 0.052305 AND f4 > 0.165186 AND f3 > -0.780695 AND f8 > 0.141050 AND f1 > -0.351079 AND f4 > 0.760278,83.0,4,20
