rule,value,n_node_samples,path_len
IF f2 > -0.157345 AND f0 > -0.835304 AND f7 > 0.187807 AND f1 <= 0.030378 AND f3 > -0.985277 AND f1 > -0.427441 AND f13 <= -1.908863 AND f13 > -2.831454 AND f13 <= -2.154087 AND f13 > -2.339548 AND f13 > -2.255061 AND f0 <= -0.411137,34.82727272727273,1,12
IF f2 > -0.157345 AND f0 > -0.835304 AND f7 > 0.187807 AND f1 <= 0.030378 AND f3 > -0.985277 AND f1 > -0.427441 AND f13 <= -1.908863 AND f13 > -2.831454 AND f13 > -2.154087 AND f13 <= -2.048247 AND f13 > -2.093590 AND f7 > 0.199483,37.11818181818182,1,12
IF f2 > -0.157345 AND f0 > -0.835304 AND f7 > 0.187807 AND f1 <= 0.030378 AND f3 > -0.985277 AND f1 > -0.427441 AND f13 <= -1.908863 AND f13 > -2.831454 AND f13 > -2.154087 AND f13 > -2.048247 AND f14 > -0.171112 AND f9 <= 0.509312,39.5,1,12
IF f2 > -0.157345 AND f0 > -0.835304 AND f7 > 0.187807 AND f1 <= 0.030378 AND f3 > -0.985277 AND f1 > -0.427441 AND f13 > -1.908863 AND f10 <= 0.938992 AND f13 > 0.402842 AND f6 <= 0.564518 AND f1 <= -0.329873 AND f10 > 0.647149,19.5,1,12
IF f2 > -0.157345 AND f0 > -0.835304 AND f7 > 0.187807 AND f1 <= 0.030378 AND f3 > -0.985277 AND f1 > -0.427441 AND f13 > -1.908863 AND f10 <= 0.938992 AND f13 > 0.402842 AND f6 <= 0.564518 AND f1 > -0.329873 AND f2 > 0.615509,39.5,1,12
IF f2 > -0.157345 AND f0 > -0.835304 AND f7 > 0.187807 AND f1 <= 0.030378 AND f3 > -0.985277 AND f1 > -0.427441 AND f13 > -1.908863 AND f10 <= 0.938992 AND f13 > 0.402842 AND f6 > 0.564518 AND f8 > -1.601508 AND f1 <= -0.161005,39.5,1,12
IF f2 > -0.157345 AND f0 > -0.835304 AND f7 > 0.187807 AND f1 <= 0.030378 AND f3 > -0.985277 AND f1 > -0.427441 AND f13 > -1.908863 AND f10 <= 0.938992 AND f13 > 0.402842 AND f6 > 0.564518 AND f8 > -1.601508 AND f1 > -0.161005,42.0,1,12
IF f2 > -0.157345 AND f0 > -0.835304 AND f7 > 0.187807 AND f1 <= 0.030378 AND f3 > -0.985277 AND f1 > -0.427441 AND f13 > -1.908863 AND f10 > 0.938992 AND f3 > -0.896342 AND f7 <= 0.202100 AND f13 <= 0.391512 AND f12 <= 0.479511,87.5,1,12
IF f2 > -0.157345 AND f0 > -0.835304 AND f7 > 0.187807 AND f1 > 0.030378 AND f4 <= 0.762551 AND f13 <= -1.654668 AND f13 <= -2.171435 AND f13 > -2.521559 AND f3 <= 0.463937 AND f7 <= 0.197008 AND f13 > -2.398482 AND f13 <= -2.388229,32.683673469387756,1,12
IF f2 > -0.157345 AND f0 > -0.835304 AND f7 > 0.187807 AND f1 > 0.030378 AND f4 <= 0.762551 AND f13 <= -1.654668 AND f13 <= -2.171435 AND f13 > -2.521559 AND f3 <= 0.463937 AND f7 <= 0.197008 AND f13 > -2.398482 AND f13 > -2.388229,32.765306122448976,1,12
IF f2 > -0.157345 AND f0 > -0.835304 AND f7 > 0.187807 AND f1 > 0.030378 AND f4 <= 0.762551 AND f13 > -1.654668 AND f13 <= 0.406418 AND f1 <= 0.497579 AND f13 <= 0.397420 AND f13 <= -1.386342 AND f13 > -1.484049 AND f6 <= -0.086648,50.21428571428571,1,12
IF f2 > -0.157345 AND f0 > -0.835304 AND f7 > 0.187807 AND f1 > 0.030378 AND f4 <= 0.762551 AND f13 > -1.654668 AND f13 <= 0.406418 AND f1 <= 0.497579 AND f13 <= 0.397420 AND f13 <= -1.386342 AND f13 > -1.484049 AND f6 > -0.086648,49.76190476190476,1,12
IF f2 > -0.157345 AND f0 > -0.835304 AND f7 > 0.187807 AND f1 > 0.030378 AND f4 <= 0.762551 AND f13 > -1.654668 AND f13 <= 0.406418 AND f1 <= 0.497579 AND f13 <= 0.397420 AND f13 > -1.386342 AND f13 > 0.394584 AND f5 <= 0.108082,71.5,1,12
IF f2 > -0.157345 AND f0 > -0.835304 AND f7 > 0.187807 AND f1 > 0.030378 AND f4 <= 0.762551 AND f13 > -1.654668 AND f13 <= 0.406418 AND f1 <= 0.497579 AND f13 > 0.397420 AND f14 > -0.182876 AND f9 <= -0.235085 AND f13 > 0.402458,44.0,1,12
IF f2 > -0.157345 AND f0 > -0.835304 AND f7 > 0.187807 AND f1 > 0.030378 AND f4 <= 0.762551 AND f13 > -1.654668 AND f13 <= 0.406418 AND f1 > 0.497579 AND f11 <= 0.957248 AND f7 <= 0.209541 AND f5 > 0.624493 AND f4 <= -0.184857,81.5,1,12
IF f2 > -0.157345 AND f0 > -0.835304 AND f7 > 0.187807 AND f1 > 0.030378 AND f4 <= 0.762551 AND f13 > -1.654668 AND f13 <= 0.406418 AND f1 > 0.497579 AND f11 <= 0.957248 AND f7 <= 0.209541 AND f5 > 0.624493 AND f4 > -0.184857,68.5,1,12
IF f2 > -0.157345 AND f0 > -0.835304 AND f7 > 0.187807 AND f1 > 0.030378 AND f4 <= 0.762551 AND f13 > -1.654668 AND f13 <= 0.406418 AND f1 > 0.497579 AND f11 > 0.957248 AND f0 <= 0.250471 AND f5 > 0.477944 AND f1 <= 0.726488,74.5,1,12
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 <= -1.068439 AND f8 > -0.294589 AND f4 <= 1.755673 AND f3 <= 0.647257 AND f6 <= 0.438011 AND f14 > -0.247561 AND f7 <= 0.194571 AND f5 <= 0.288361 AND f7 > 0.192573 AND f3 <= -0.251922 AND f6 <= 0.265413,111.00000000000001,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 <= -1.068439 AND f8 > -0.294589 AND f4 <= 1.755673 AND f3 <= 0.647257 AND f6 <= 0.438011 AND f14 > -0.247561 AND f7 <= 0.194571 AND f5 <= 0.288361 AND f7 > 0.192573 AND f3 <= -0.251922 AND f6 > 0.265413,110.5,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 <= -1.068439 AND f8 > -0.294589 AND f4 <= 1.755673 AND f3 <= 0.647257 AND f6 <= 0.438011 AND f14 > -0.247561 AND f7 <= 0.194571 AND f5 <= 0.288361 AND f7 > 0.192573 AND f3 > -0.251922 AND f13 <= 0.392763,100.49999999999999,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 <= -1.068439 AND f8 > -0.294589 AND f4 <= 1.755673 AND f3 <= 0.647257 AND f6 <= 0.438011 AND f14 > -0.247561 AND f7 <= 0.194571 AND f5 <= 0.288361 AND f7 > 0.192573 AND f3 > -0.251922 AND f13 > 0.392763,100.0,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 <= -1.068439 AND f8 > -0.294589 AND f4 <= 1.755673 AND f3 <= 0.647257 AND f6 <= 0.438011 AND f14 > -0.247561 AND f7 <= 0.194571 AND f5 > 0.288361 AND f1 <= 0.904738 AND f4 <= 0.447162 AND f7 <= 0.191473,82.5,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 <= -1.068439 AND f8 > -0.294589 AND f4 <= 1.755673 AND f3 <= 0.647257 AND f6 <= 0.438011 AND f14 > -0.247561 AND f7 <= 0.194571 AND f5 > 0.288361 AND f1 <= 0.904738 AND f4 > 0.447162 AND f6 <= -0.289647,79.5,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 <= -1.068439 AND f8 > -0.294589 AND f4 <= 1.755673 AND f3 <= 0.647257 AND f6 <= 0.438011 AND f14 > -0.247561 AND f7 <= 0.194571 AND f5 > 0.288361 AND f1 <= 0.904738 AND f4 > 0.447162 AND f6 > -0.289647,80.5,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 <= -1.068439 AND f8 > -0.294589 AND f4 <= 1.755673 AND f3 <= 0.647257 AND f6 <= 0.438011 AND f14 > -0.247561 AND f7 <= 0.194571 AND f5 > 0.288361 AND f1 > 0.904738 AND f1 <= 1.353175 AND f4 <= 0.690533,94.0,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 <= -1.068439 AND f8 > -0.294589 AND f4 <= 1.755673 AND f3 <= 0.647257 AND f6 <= 0.438011 AND f14 > -0.247561 AND f7 <= 0.194571 AND f5 > 0.288361 AND f1 > 0.904738 AND f1 <= 1.353175 AND f4 > 0.690533,96.5,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 <= -1.068439 AND f8 > -0.294589 AND f4 <= 1.755673 AND f3 <= 0.647257 AND f6 > 0.438011 AND f13 > 0.397212 AND f2 > -1.330359 AND f1 > 0.822180 AND f3 > 0.062998 AND f2 <= -1.189126 AND f5 <= -0.117557,98.0,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 <= -1.068439 AND f8 > -0.294589 AND f4 <= 1.755673 AND f3 <= 0.647257 AND f6 > 0.438011 AND f13 > 0.397212 AND f2 > -1.330359 AND f1 > 0.822180 AND f3 > 0.062998 AND f2 <= -1.189126 AND f5 > -0.117557,98.5,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 <= -1.068439 AND f8 > -0.294589 AND f4 > 1.755673 AND f10 <= 1.522678 AND f7 <= 0.183601 AND f0 <= 1.842025 AND f0 <= 1.720685 AND f8 > -0.004163 AND f3 <= -0.314444 AND f14 > 2.349977 AND f13 <= 0.397711,125.0,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 <= -1.068439 AND f8 > -0.294589 AND f4 > 1.755673 AND f10 <= 1.522678 AND f7 <= 0.183601 AND f0 <= 1.842025 AND f0 <= 1.720685 AND f8 > -0.004163 AND f3 <= -0.314444 AND f14 > 2.349977 AND f13 > 0.397711,125.49999999999999,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 <= -1.068439 AND f8 > -0.294589 AND f4 > 1.755673 AND f10 <= 1.522678 AND f7 > 0.183601 AND f2 <= -1.559861 AND f3 <= 2.069154 AND f0 <= 2.629494 AND f8 > 0.794510 AND f4 > 1.810536 AND f6 > 0.517445,108.0,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 <= -1.068439 AND f8 > -0.294589 AND f4 > 1.755673 AND f10 <= 1.522678 AND f7 > 0.183601 AND f2 <= -1.559861 AND f3 <= 2.069154 AND f0 > 2.629494 AND f6 <= 0.377209 AND f2 <= -1.808979 AND f8 <= 1.084936,120.0,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 <= -1.068439 AND f8 > -0.294589 AND f4 > 1.755673 AND f10 <= 1.522678 AND f7 > 0.183601 AND f2 <= -1.559861 AND f3 <= 2.069154 AND f0 > 2.629494 AND f6 <= 0.377209 AND f2 <= -1.808979 AND f8 > 1.084936,124.0,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 <= -1.068439 AND f8 > -0.294589 AND f4 > 1.755673 AND f10 <= 1.522678 AND f7 > 0.183601 AND f2 <= -1.559861 AND f3 <= 2.069154 AND f0 > 2.629494 AND f6 <= 0.377209 AND f2 > -1.808979 AND f2 > -1.638323,124.0,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 <= -1.068439 AND f8 > -0.294589 AND f4 > 1.755673 AND f10 <= 1.522678 AND f7 > 0.183601 AND f2 <= -1.559861 AND f3 <= 2.069154 AND f0 > 2.629494 AND f6 > 0.377209 AND f13 > 0.398095 AND f7 <= 0.194295,120.5,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 <= -1.068439 AND f8 > -0.294589 AND f4 > 1.755673 AND f10 <= 1.522678 AND f7 > 0.183601 AND f2 <= -1.559861 AND f3 <= 2.069154 AND f0 > 2.629494 AND f6 > 0.377209 AND f13 > 0.398095 AND f7 > 0.194295,122.0,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 <= -1.068439 AND f8 > -0.294589 AND f4 > 1.755673 AND f10 <= 1.522678 AND f7 > 0.183601 AND f2 > -1.559861 AND f14 <= -0.251069 AND f4 <= 2.358120 AND f4 <= 1.969472 AND f13 > 0.394806 AND f7 <= 0.185932,113.5,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 <= -1.068439 AND f8 > -0.294589 AND f4 > 1.755673 AND f10 <= 1.522678 AND f7 > 0.183601 AND f2 > -1.559861 AND f14 <= -0.251069 AND f4 <= 2.358120 AND f4 > 1.969472 AND f5 <= -0.023347 AND f0 > 2.018602,120.0,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 <= -1.068439 AND f8 > -0.294589 AND f4 > 1.755673 AND f10 <= 1.522678 AND f7 > 0.183601 AND f2 > -1.559861 AND f14 <= -0.251069 AND f4 <= 2.358120 AND f4 > 1.969472 AND f5 > -0.023347 AND f8 <= 1.157543,121.0,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 <= -1.068439 AND f8 > -0.294589 AND f4 > 1.755673 AND f10 <= 1.522678 AND f7 > 0.183601 AND f2 > -1.559861 AND f14 <= -0.251069 AND f4 <= 2.358120 AND f4 > 1.969472 AND f5 > -0.023347 AND f8 > 1.157543,123.0,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 <= -1.068439 AND f8 > -0.294589 AND f4 > 1.755673 AND f10 <= 1.522678 AND f7 > 0.183601 AND f2 > -1.559861 AND f14 > -0.251069 AND f2 <= -1.228357 AND f14 > -0.215421 AND f14 <= -0.213195 AND f7 <= 0.195210,127.0,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 <= -1.068439 AND f8 > -0.294589 AND f4 > 1.755673 AND f10 <= 1.522678 AND f7 > 0.183601 AND f2 > -1.559861 AND f14 > -0.251069 AND f2 <= -1.228357 AND f14 > -0.215421 AND f14 <= -0.213195 AND f7 > 0.195210,123.0,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 <= -1.068439 AND f8 > -0.294589 AND f4 > 1.755673 AND f10 > 1.522678 AND f0 <= 2.151669 AND f4 > 1.855939 AND f0 <= 2.034738 AND f0 > 1.575993 AND f2 <= -1.255819 AND f13 > 0.406236 AND f7 > 0.191149,87.5,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 > -1.068439 AND f14 <= -0.241364 AND f2 <= -0.747775 AND f13 <= 0.391811 AND f7 > 0.185969 AND f8 > -0.221983 AND f5 > -0.068707 AND f1 > 0.319330 AND f9 > -0.731350 AND f3 > -0.642656 AND f0 <= 0.944353,107.0,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 > -1.068439 AND f14 <= -0.241364 AND f2 <= -0.747775 AND f13 <= 0.391811 AND f7 > 0.185969 AND f8 > -0.221983 AND f5 > -0.068707 AND f1 > 0.319330 AND f9 > -0.731350 AND f3 > -0.642656 AND f0 > 0.944353,108.0,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 > -1.068439 AND f14 <= -0.241364 AND f2 <= -0.747775 AND f13 > 0.391811 AND f10 > -1.395754 AND f13 <= 0.398711 AND f14 <= -0.253520 AND f2 <= -0.857622 AND f2 <= -0.908623 AND f8 <= -0.149376 AND f5 <= -0.121046,109.00000000000001,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 > -1.068439 AND f14 <= -0.241364 AND f2 <= -0.747775 AND f13 > 0.391811 AND f10 > -1.395754 AND f13 <= 0.398711 AND f14 <= -0.253520 AND f2 <= -0.857622 AND f2 <= -0.908623 AND f8 <= -0.149376 AND f5 > -0.121046,108.0,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 > -1.068439 AND f14 <= -0.241364 AND f2 <= -0.747775 AND f13 > 0.391811 AND f10 > -1.395754 AND f13 <= 0.398711 AND f14 <= -0.253520 AND f2 <= -0.857622 AND f2 <= -0.908623 AND f8 > -0.149376 AND f2 <= -1.012586,96.0,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 > -1.068439 AND f14 <= -0.241364 AND f2 <= -0.747775 AND f13 > 0.391811 AND f10 > -1.395754 AND f13 <= 0.398711 AND f14 <= -0.253520 AND f2 > -0.857622 AND f8 <= 1.012330 AND f0 > 0.305797 AND f1 <= 0.514466,101.0,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 > -1.068439 AND f14 <= -0.241364 AND f2 <= -0.747775 AND f13 > 0.391811 AND f10 > -1.395754 AND f13 <= 0.398711 AND f14 <= -0.253520 AND f2 > -0.857622 AND f8 <= 1.012330 AND f0 > 0.305797 AND f1 > 0.514466,100.0,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 > -1.068439 AND f14 <= -0.241364 AND f2 > -0.747775 AND f2 <= -0.506503 AND f13 <= 0.391906 AND f8 > -0.585016 AND f3 <= -0.598917 AND f5 <= -0.010553 AND f3 > -0.972156 AND f0 > 0.278134 AND f2 <= -0.714429,101.49999999999999,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 > -1.068439 AND f14 <= -0.241364 AND f2 > -0.747775 AND f2 <= -0.506503 AND f13 > 0.391906 AND f7 <= 0.187210 AND f4 <= 0.726542 AND f1 > 0.324959 AND f3 <= -0.512897 AND f9 <= 0.757444 AND f10 <= -0.957989,90.5,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 > -1.068439 AND f14 <= -0.241364 AND f2 > -0.747775 AND f2 <= -0.506503 AND f13 > 0.391906 AND f7 <= 0.187210 AND f4 > 0.726542 AND f13 <= 0.394789 AND f0 > 0.135209 AND f4 > 0.873061 AND f2 <= -0.700698,98.0,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 > -1.068439 AND f14 <= -0.241364 AND f2 > -0.747775 AND f2 <= -0.506503 AND f13 > 0.391906 AND f7 <= 0.187210 AND f4 > 0.726542 AND f13 <= 0.394789 AND f0 > 0.135209 AND f4 > 0.873061 AND f2 > -0.700698,99.5,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 > -1.068439 AND f14 <= -0.241364 AND f2 > -0.747775 AND f2 <= -0.506503 AND f13 > 0.391906 AND f7 <= 0.187210 AND f4 > 0.726542 AND f13 > 0.394789 AND f2 > -0.714429 AND f1 <= 0.503208 AND f9 <= -0.235085,84.5,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 > -1.068439 AND f14 <= -0.241364 AND f2 > -0.747775 AND f2 <= -0.506503 AND f13 > 0.391906 AND f7 <= 0.187210 AND f4 > 0.726542 AND f13 > 0.394789 AND f2 > -0.714429 AND f1 <= 0.503208 AND f9 > -0.235085,85.5,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 > -1.068439 AND f14 <= -0.241364 AND f2 > -0.747775 AND f2 <= -0.506503 AND f13 > 0.391906 AND f7 > 0.187210 AND f10 <= -1.103911 AND f0 <= 0.165177 AND f5 > -0.133840 AND f13 <= 0.395804 AND f5 <= -0.005900,76.5,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 > -1.068439 AND f14 <= -0.241364 AND f2 > -0.747775 AND f2 <= -0.506503 AND f13 > 0.391906 AND f7 > 0.187210 AND f10 <= -1.103911 AND f0 <= 0.165177 AND f5 > -0.133840 AND f13 <= 0.395804 AND f5 > -0.005900,75.5,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 > -1.068439 AND f14 <= -0.241364 AND f2 > -0.747775 AND f2 <= -0.506503 AND f13 > 0.391906 AND f7 > 0.187210 AND f10 <= -1.103911 AND f0 <= 0.165177 AND f5 > -0.133840 AND f13 > 0.395804 AND f7 <= 0.190109,78.5,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 > -1.068439 AND f14 <= -0.241364 AND f2 > -0.747775 AND f2 <= -0.506503 AND f13 > 0.391906 AND f7 > 0.187210 AND f10 <= -1.103911 AND f0 <= 0.165177 AND f5 > -0.133840 AND f13 > 0.395804 AND f7 > 0.190109,77.5,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 > -1.068439 AND f14 <= -0.241364 AND f2 > -0.747775 AND f2 <= -0.506503 AND f13 > 0.391906 AND f7 > 0.187210 AND f10 <= -1.103911 AND f0 > 0.165177 AND f3 > -0.932791 AND f4 <= 1.434304 AND f14 <= -0.246131,85.0,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 > -1.068439 AND f14 <= -0.241364 AND f2 > -0.747775 AND f2 <= -0.506503 AND f13 > 0.391906 AND f7 > 0.187210 AND f10 <= -1.103911 AND f0 > 0.165177 AND f3 > -0.932791 AND f4 <= 1.434304 AND f14 > -0.246131,85.5,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 > -1.068439 AND f14 <= -0.241364 AND f2 > -0.747775 AND f2 <= -0.506503 AND f13 > 0.391906 AND f7 > 0.187210 AND f10 > -1.103911 AND f6 > -0.216096 AND f0 > 0.206671 AND f8 > -1.238475 AND f5 > 0.111571,75.0,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 > -1.068439 AND f14 <= -0.241364 AND f2 > -0.747775 AND f2 > -0.506503 AND f7 <= 0.185889 AND f0 <= -0.316621 AND f13 <= 0.390516 AND f0 <= -0.392695 AND f5 > -0.055913 AND f1 <= 0.026626 AND f3 <= -1.462031,81.0,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 > -1.068439 AND f14 <= -0.241364 AND f2 > -0.747775 AND f2 > -0.506503 AND f7 <= 0.185889 AND f0 <= -0.316621 AND f13 <= 0.390516 AND f0 <= -0.392695 AND f5 > -0.055913 AND f1 <= 0.026626 AND f3 > -1.462031,81.5,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 > -1.068439 AND f14 <= -0.241364 AND f2 > -0.747775 AND f2 > -0.506503 AND f7 <= 0.185889 AND f0 <= -0.316621 AND f13 > 0.390516 AND f9 > -0.731350 AND f5 <= 0.116224 AND f3 <= -1.399339 AND f6 <= -0.414192,62.0,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 > -1.068439 AND f14 <= -0.241364 AND f2 > -0.747775 AND f2 > -0.506503 AND f7 <= 0.185889 AND f0 <= -0.316621 AND f13 > 0.390516 AND f9 > -0.731350 AND f5 <= 0.116224 AND f3 <= -1.399339 AND f6 > -0.414192,63.5,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 > -1.068439 AND f14 <= -0.241364 AND f2 > -0.747775 AND f2 > -0.506503 AND f7 <= 0.185889 AND f0 > -0.316621 AND f5 <= 0.060396 AND f7 <= 0.184406 AND f4 <= 0.524147 AND f8 <= -0.004163 AND f13 > 0.389693,102.0,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 > -1.068439 AND f14 <= -0.241364 AND f2 > -0.747775 AND f2 > -0.506503 AND f7 <= 0.185889 AND f0 > -0.316621 AND f5 <= 0.060396 AND f7 <= 0.184406 AND f4 > 0.524147 AND f6 <= 0.036917 AND f5 <= -0.103600,85.0,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 > -1.068439 AND f14 <= -0.241364 AND f2 > -0.747775 AND f2 > -0.506503 AND f7 <= 0.185889 AND f0 > -0.316621 AND f5 <= 0.060396 AND f7 <= 0.184406 AND f4 > 0.524147 AND f6 > 0.036917 AND f6 <= 0.070259,96.5,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 > -1.068439 AND f14 <= -0.241364 AND f2 > -0.747775 AND f2 > -0.506503 AND f7 <= 0.185889 AND f0 > -0.316621 AND f5 <= 0.060396 AND f7 <= 0.184406 AND f4 > 0.524147 AND f6 > 0.036917 AND f6 > 0.070259,104.0,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 > -1.068439 AND f14 <= -0.241364 AND f2 > -0.747775 AND f2 > -0.506503 AND f7 <= 0.185889 AND f0 > -0.316621 AND f5 <= 0.060396 AND f7 > 0.184406 AND f9 <= 0.261179 AND f2 > -0.316232 AND f13 <= 0.387995,71.0,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 > -1.068439 AND f14 <= -0.241364 AND f2 > -0.747775 AND f2 > -0.506503 AND f7 > 0.185889 AND f6 <= 0.848912 AND f2 <= -0.290732 AND f6 <= 0.753787 AND f3 <= -0.905089 AND f6 <= 0.615512 AND f3 <= -1.329356,60.0,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 > -1.068439 AND f14 <= -0.241364 AND f2 > -0.747775 AND f2 > -0.506503 AND f7 > 0.185889 AND f6 <= 0.848912 AND f2 <= -0.290732 AND f6 <= 0.753787 AND f3 <= -0.905089 AND f6 > 0.615512 AND f4 <= 0.592440,64.5,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 > -1.068439 AND f14 <= -0.241364 AND f2 > -0.747775 AND f2 > -0.506503 AND f7 > 0.185889 AND f6 <= 0.848912 AND f2 <= -0.290732 AND f6 <= 0.753787 AND f3 <= -0.905089 AND f6 > 0.615512 AND f4 > 0.592440,60.5,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 > -1.068439 AND f14 <= -0.241364 AND f2 > -0.747775 AND f2 > -0.506503 AND f7 > 0.185889 AND f6 <= 0.848912 AND f2 <= -0.290732 AND f6 <= 0.753787 AND f3 > -0.905089 AND f14 <= -0.254446 AND f14 <= -0.259850,50.0,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 > -1.068439 AND f14 <= -0.241364 AND f2 > -0.747775 AND f2 > -0.506503 AND f7 > 0.185889 AND f6 <= 0.848912 AND f2 <= -0.290732 AND f6 <= 0.753787 AND f3 > -0.905089 AND f14 <= -0.254446 AND f14 > -0.259850,52.25257731958764,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 > -1.068439 AND f14 <= -0.241364 AND f2 > -0.747775 AND f2 > -0.506503 AND f7 > 0.185889 AND f6 <= 0.848912 AND f2 > -0.290732 AND f13 > -1.140296 AND f3 <= -1.128158 AND f7 > 0.188550 AND f7 <= 0.190048,55.00000000000001,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 > -1.068439 AND f14 <= -0.241364 AND f2 > -0.747775 AND f2 > -0.506503 AND f7 > 0.185889 AND f6 <= 0.848912 AND f2 > -0.290732 AND f13 > -1.140296 AND f3 <= -1.128158 AND f7 > 0.188550 AND f7 > 0.190048,48.0,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 > -1.068439 AND f14 <= -0.241364 AND f2 > -0.747775 AND f2 > -0.506503 AND f7 > 0.185889 AND f6 <= 0.848912 AND f2 > -0.290732 AND f13 > -1.140296 AND f3 > -1.128158 AND f14 > -0.249280 AND f14 > -0.242827,56.99999999999999,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 > -1.068439 AND f14 > -0.241364 AND f13 > -1.179991 AND f8 <= -0.439802 AND f13 <= 0.386335 AND f9 > -0.979482 AND f8 > -1.601508 AND f0 <= 0.642365 AND f3 <= -0.023022 AND f2 > -0.373117 AND f7 <= -2.397682,71.64516129032258,1,13
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 > -1.068439 AND f14 > -0.241364 AND f13 > -1.179991 AND f8 <= -0.439802 AND f13 <= 0.386335 AND f9 > -0.979482 AND f8 > -1.601508 AND f0 <= 0.642365 AND f3 <= -0.023022 AND f2 > -0.373117 AND f7 > -2.397682,72.5,1,13
